origem;destino;veiculo;custo;fluxo;caminho
0;0;0;0;0;{}
0;1;0;2.613;500.5;{(0, 1): 2.613}
0;2;0;4.7235;1001.0;{(0, 1): 2.613, (1, 2): 2.1104999999999996}
0;3;0;4.924499999999999;1501.5;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201}
0;4;0;7.5375;2002.0;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613}
0;5;0;6.934499999999999;2002.0;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613, (3, 5): 2.01}
0;6;0;11.00475;3003.0;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613, (3, 5): 2.01, (4, 7): 0.36179999999999995, (4, 8): 3.3165, (5, 8): 2.412, (5, 10): 0.4824, (8, 6): 1.65825}
0;7;0;7.899299999999999;2502.5;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613, (3, 5): 2.01, (4, 7): 0.36179999999999995}
0;8;0;9.346499999999999;2502.5;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613, (3, 5): 2.01, (4, 7): 0.36179999999999995, (4, 8): 3.3165}
0;9;0;7.1354999999999995;1501.5;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412}
0;10;0;7.416899999999999;2502.5;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613, (3, 5): 2.01, (4, 7): 0.36179999999999995, (4, 8): 3.3165, (5, 8): 2.412, (5, 10): 0.4824}
0;11;0;11.758499999999998;2502.5;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613, (3, 5): 2.01, (4, 7): 0.36179999999999995, (4, 8): 3.3165, (5, 8): 2.412, (5, 10): 0.4824, (8, 6): 1.65825, (8, 13): 0.35174999999999995, (9, 11): 4.824}
0;12;0;7.5375;2002.0;{(0, 1): 2.613, (1, 2): 2.1104999999999996, (2, 9): 2.412, (2, 3): 0.201, (3, 4): 2.613, (3, 5): 2.01, (4, 7): 0.36179999999999995, (4, 8): 3.3165, (5, 8): 2.412, (5, 10): 0.4824, (8, 6): 1.65825, (8, 13): 0.35174999999999995, (9, 11): 4.824, (9, 12): 0.40199999999999997}
